Dates,PX_TO_BOOK_RATIO,EQY_DVD_YLD_12M,EARN_YLD,CASH_FLOW_YIELD,PX_TO_SALES_RATIO,PX_CLOSE_1D,BASIC_EPS_3YR_AVG_GROWTH,SALES_3YR_AVG_GROWTH,EPS_GROWTH,OPER_INC_TO_NET_SALES,EBIT_TO_NET_SALES,5_YEAR_AVERAGE_ADJUSTED_ROE,CUR_MKT_CAP,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE
2014/07/30,1.3674,3.9021,5.435,26.0355,0.5291,3596,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,174738.9191,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/31,1.3605,3.9263,5.4624,26.0355,0.5264,3562,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,173659.6781,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/01,1.3466,3.9746,5.5191,26.0355,0.521,3540,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,171550.2527,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/04,1.3498,3.9712,5.5058,26.0355,0.5223,3497,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,171697.4219,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/05,1.3522,3.9363,5.4959,26.0355,0.5232,3500,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,173218.1705,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/06,1.3508,3.9576,5.5018,26.0355,0.5227,3531,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,172286.0987,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/07,1.325,4.0229,5.609,26.0355,0.5127,3512,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,169489.8836,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/08,1.3142,4.0988,5.6552,26.0355,0.5085,3455,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,166350.2736,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/11,1.3303,4.0676,5.5864,26.0355,0.5148,3391,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,167625.7402,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/12,1.329,4.0593,5.5919,26.0355,0.5143,3417,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,167969.135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/13,1.337,4.088,5.5586,26.0355,0.5173,3424,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,166791.7813,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/08/14,1.3536,4.0522,5.4904,26.0355,0.5238,3400,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,168263.4734,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
